cod_facultad,cod_escuela,cod_semestre,cod_alumno,cod_plan,cod_asignatura,asignatura,num_rep
1,1,20191,15010264,2015  ,M15033M ,PATOLOGÍA ESPECIAL,1
1,1,20191,15010264,2015  ,M15035M ,MEDICINA INTERNA,1
1,1,20191,15010264,2015  ,M15032M ,PROYECTO DE TESIS II,3
1,1,20191,17010260,2015  ,M15028M ,FISIOPATOLOGÍA,1
1,1,20191,12010250,2015  ,M15006M ,INGLÉS MÉDICO,3
1,1,20191,12010250,2015  ,M15026M ,FARMACOLOGÍA BÁSICA APLICADA A LA MEDICINA,1
1,1,20191,12010250,2015  ,M15027M ,PROYECTO DE TESIS I,2
1,1,20191,12010250,2015  ,M15028M ,FISIOPATOLOGÍA,2
1,1,20191,12010250,2015  ,M15030M ,INMUNOLOGÍA GENERAL,1
1,1,20191,12010250,2015  ,M15034M ,ATENCIÓN DE LA SALUD NIVEL I y II  (II),1
1,1,20191,12010250,2015  ,M15E02  ,CULTURA ,1
1,1,20191,12010250,2015  ,M15E04  ,DEPORTE,1
1,1,20191,18010324,2018  ,MO003   ,HISTOLOGÍA,1
1,1,20191,18010324,2018  ,ME1840  ,BIOLOGÍA MOLECULAR,1
1,1,20191,12010230,2004  ,MH0E03  ,SEMINARIO DE ELABORACION DE TESIS II,1
1,1,20191,15010258,2015  ,M15028M ,FISIOPATOLOGÍA,1
1,1,20191,18010360,2018  ,MO003   ,HISTOLOGÍA,1
1,1,20191,18010324,2018  ,MO002   ,EMBRIOLOGÍA,1
1,1,20191,18010029,2018  ,MO002   ,EMBRIOLOGÍA,1
1,1,20191,18010029,2018  ,MO003   ,HISTOLOGÍA,1
1,1,20191,18010004,2018  ,MO003   ,HISTOLOGÍA,1
1,1,20191,15010018,2015  ,M15030M ,INMUNOLOGÍA GENERAL,1
1,1,20191,18010334,2018  ,MO001   ,ANATOMÍA HUMANA,1
1,1,20191,18010334,2018  ,MO002   ,EMBRIOLOGÍA,1
1,1,20191,940134  ,2015  ,M15028M ,FISIOPATOLOGÍA,2
1,1,20191,12010303,2015  ,M15035M ,MEDICINA INTERNA,1
1,1,20191,18010334,2018  ,MO003   ,HISTOLOGÍA,1
1,1,20191,18010318,2018  ,MO003   ,HISTOLOGÍA,1
1,1,20191,17010029,2015  ,M15026M ,FARMACOLOGÍA BÁSICA APLICADA A LA MEDICINA,1
1,1,20191,14010022,2004  ,MH0E03  ,SEMINARIO DE ELABORACION DE TESIS II,1
1,1,20191,17010029,2015  ,M15027M ,PROYECTO DE TESIS I,1
1,1,20191,17010029,2015  ,M15028M ,FISIOPATOLOGÍA,1
1,1,20191,17010029,2015  ,M15029M ,PATOLOGÍA GENERAL II,1
1,1,20191,17010029,2015  ,M15034M ,ATENCIÓN DE LA SALUD NIVEL I y II  (II),1
